medcodeid,observations,term,emiscodecategoryid,description_lower,bl_dm_type,bl_dm
787101000006114,138,IDDM with peripheral circulatory disorder,32,iddm with peripheral circulatory disorder,Type 1 DM,1
787111000006112,29238,IDDM-Insulin dependent diabetes mellitus,32,iddm-insulin dependent diabetes mellitus,Type 1 DM,1
840951000006119,67886,Insulin treated Type 2 diabetes mellitus,32,insulin treated type 2 diabetes mellitus,Type 2 DM,1
840971000006112,813,Diabetes mellitus autosomal dominant type II,32,diabetes mellitus autosomal dominant type ii,Type 2 DM,1
841011000006112,1587,Severe nonproliferative diabetic retinopathy,32,severe nonproliferative diabetic retinopathy,Unclear,1
841351000006110,1603,Insulin treated Type II diabetes mellitus,32,insulin treated type ii diabetes mellitus,Type 2 DM,1
845341000006111,339,Diabetes: shared care in pregnancy - diabetologist and obstetrician,1,diabetes: shared care in pregnancy - diabetologist and obstetrician,Unclear,1
850691000006118,470,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,32,hyperosmolar non-ketotic state in type 2 diabetes mellitus,Type 2 DM,1
856531000006119,1915,Diabetic - GP eye check,1,diabetic - gp eye check,Unclear,1
856551000006114,12822,Diabetic - hospital eye check,1,diabetic - hospital eye check,Unclear,1
856611000006114,4063,Laser treated diabetic retinopathy,32,laser treated diabetic retinopathy,Unclear,1
856621000006118,51,Left proliferative diabetic retinopathy,32,left proliferative diabetic retinopathy,Unclear,1
856631000006115,2269,Left laser treated diabetic retinopathy,32,left laser treated diabetic retinopathy,Unclear,1
856641000006113,67,Left diabetic maculopathy,32,left diabetic maculopathy,Unclear,1
856651000006110,334,Left advanced diabetic retinal disease,32,left advanced diabetic retinal disease,Unclear,1
856661000006112,238,Left diabetic foot active ulceration,27,left diabetic foot active ulceration,Unclear,1
856671000006117,442,Left diabetic foot high risk,27,left diabetic foot high risk,Unclear,1
856681000006119,2103,Left diabetic foot moderate risk,27,left diabetic foot moderate risk,Unclear,1
856691000006116,9661,Left diabetic foot low current risk,27,left diabetic foot low current risk,Unclear,1
856771000006110,2159,Patient has been told has diabetes,27,patient has been told has diabetes,Unclear,1
857031000006113,5317,Left non-proliferative diabetic retinopathy,32,left non-proliferative diabetic retinopathy,Unclear,1
857051000006118,45,Left preproliferative diabetic retinopathy,32,left preproliferative diabetic retinopathy,Unclear,1
857411000006110,122,Right proliferative diabetic retinopathy,32,right proliferative diabetic retinopathy,Unclear,1
857421000006119,2333,Right laser treated diabetic retinopathy,32,right laser treated diabetic retinopathy,Unclear,1
857431000006116,167,Right diabetic maculopathy,32,right diabetic maculopathy,Unclear,1
857441000006114,320,Right advanced diabetic retinal disease,32,right advanced diabetic retinal disease,Unclear,1
857691000006119,251,Right diabetic foot active ulceration,27,right diabetic foot active ulceration,Unclear,1
857721000006112,566,Right diabetic foot high risk,27,right diabetic foot high risk,Unclear,1
857741000006117,2238,Right diabetic foot moderate risk,27,right diabetic foot moderate risk,Unclear,1
857761000006118,9927,Right diabetic foot low current risk,27,right diabetic foot low current risk,Unclear,1
857971000006110,5243,Right non-proliferative diabetic retinopathy,32,right non-proliferative diabetic retinopathy,Unclear,1
857981000006113,94,Right preproliferative diabetic retinopathy,32,right preproliferative diabetic retinopathy,Unclear,1
881441000006111,4610,Diabetes mellitus - juvenile,32,diabetes mellitus - juvenile,Unclear,1
881451000006113,26876,Diabetes mellitus -adult onset,32,diabetes mellitus -adult onset,Unclear,1
881461000006110,560,Diabetes+ketoacidosis -no coma,32,diabetes+ketoacidosis -no coma,Unclear,1
881471000006115,63,Diabetes with coma,32,diabetes with coma,Unclear,1
881481000006117,1219,Diabetes + nephropathy,32,diabetes + nephropathy,Unclear,1
881491000006119,1324,Diabetes + eye manifestation,32,diabetes + eye manifestation,Unclear,1
881501000006110,5091,Diabetes + neuropathy,32,diabetes + neuropathy,Unclear,1
881511000006113,682,Diabetes + periph.circulat.dis,32,diabetes + periph.circulat.dis,Unclear,1
881521000006117,264,Diabetes + other complications,32,diabetes + other complications,Unclear,1
887971000006115,418,Preg.+ diabetes mellitus,32,preg.+ diabetes mellitus,Unclear,1
902201000006112,38,Reaction: insulin/antidiabetic,5,reaction: insulin/antidiabetic,Unclear,1
905621000006113,6414,[RFC] Diabetes,12,[rfc] diabetes,Unclear,1
906711000006116,2010,[RFC] Diabetic foot/leg ulcer,12,[rfc] diabetic foot/leg ulcer,Unclear,1
908831000006118,209907,[RFC] Diabetes mellitus,12,[rfc] diabetes mellitus,Unclear,1
910211000006114,414,[RFC] Diabetic health promotion,12,[rfc] diabetic health promotion,Unclear,1
910491000006117,2133,[RFC] Diabetic leg ulcer,12,[rfc] diabetic leg ulcer,Unclear,1
910501000006113,12865,[RFC] Diabetic foot ulcer,12,[rfc] diabetic foot ulcer,Unclear,1
913441000006119,206,Insulin-dependent diabetes mellitus with renal complications,32,insulin-dependent diabetes mellitus with renal complications,Unclear,1
913451000006117,1691,Type 1 diabetes mellitus with renal complications,32,type 1 diabetes mellitus with renal complications,Type 1 DM,1
913461000006115,20,Type I diabetes mellitus with renal complications,32,type i diabetes mellitus with renal complications,Type 1 DM,1
913471000006110,254,Insulin-dependent diabetes mellitus with ophthalmic comps,32,insulin-dependent diabetes mellitus with ophthalmic comps,Unclear,1
913481000006113,406,Type 1 diabetes mellitus with ophthalmic complications,32,type 1 diabetes mellitus with ophthalmic complications,Type 1 DM,1
913491000006111,3,Type I diabetes mellitus with ophthalmic complications,32,type i diabetes mellitus with ophthalmic complications,Type 1 DM,1
913501000006115,133,Insulin-dependent diabetes mellitus with neurological comps,32,insulin-dependent diabetes mellitus with neurological comps,Unclear,1
913511000006117,140,Type 1 diabetes mellitus with neurological complications,32,type 1 diabetes mellitus with neurological complications,Type 1 DM,1
913521000006113,5,Neurological disorder with type 1 diabetes mellitus,32,neurological disorder with type 1 diabetes mellitus,Type 1 DM,1
913531000006111,139,Insulin dependent diabetes mellitus with multiple complicat,32,insulin dependent diabetes mellitus with multiple complicat,Type 1 DM,1
913541000006118,1075,Type 1 diabetes mellitus with multiple complications,32,type 1 diabetes mellitus with multiple complications,Type 1 DM,1
913551000006116,14,Type I diabetes mellitus with multiple complications,32,type i diabetes mellitus with multiple complications,Type 1 DM,1
913591000006110,139,Skin ulcer associated with diabetes mellitus,32,skin ulcer associated with diabetes mellitus,Unclear,1
913621000006112,24,Insulin dependent diabetes mellitus with gangrene,32,insulin dependent diabetes mellitus with gangrene,Type 1 DM,1
913651000006115,186,Insulin dependent diabetes mellitus with retinopathy,32,insulin dependent diabetes mellitus with retinopathy,Type 1 DM,1
913661000006118,2511,Retinopathy with type 1 diabetes mellitus,32,retinopathy with type 1 diabetes mellitus,Type 1 DM,1
913671000006113,63,Type I diabetes mellitus with retinopathy,32,type i diabetes mellitus with retinopathy,Type 1 DM,1
913681000006111,403,Insulin dependent diabetes mellitus - poor control,27,insulin dependent diabetes mellitus - poor control,Type 1 DM,1
913711000006112,985,Insulin dependent diabetes maturity onset,32,insulin dependent diabetes maturity onset,Type 1 DM,1
913771000006115,12,Insulin dependent diabetes mellitus with mononeuropathy,32,insulin dependent diabetes mellitus with mononeuropathy,Type 1 DM,1
913781000006117,17,Type 1 diabetes mellitus with mononeuropathy,32,type 1 diabetes mellitus with mononeuropathy,Type 1 DM,1
913791000006119,7,Type I diabetes mellitus with mononeuropathy,32,type i diabetes mellitus with mononeuropathy,Type 1 DM,1
913801000006118,26,Insulin dependent diabetes mellitus with polyneuropathy,32,insulin dependent diabetes mellitus with polyneuropathy,Type 1 DM,1
913811000006115,94,Type 1 diabetes mellitus with polyneuropathy,32,type 1 diabetes mellitus with polyneuropathy,Type 1 DM,1
913821000006111,1,Type I diabetes mellitus with polyneuropathy,32,type i diabetes mellitus with polyneuropathy,Type 1 DM,1
913831000006114,54,Insulin dependent diabetes mellitus with nephropathy,32,insulin dependent diabetes mellitus with nephropathy,Type 1 DM,1
913841000006116,1254,Renal disorder associated with type 1 diabetes mellitus,32,renal disorder associated with type 1 diabetes mellitus,Type 1 DM,1
913851000006119,20,Type I diabetes mellitus with nephropathy,32,type i diabetes mellitus with nephropathy,Type 1 DM,1
913891000006113,14,Insulin dependent diabetes mellitus with diabetic cataract,32,insulin dependent diabetes mellitus with diabetic cataract,Type 1 DM,1
913901000006112,41,Type 1 diabetes mellitus with diabetic cataract,32,type 1 diabetes mellitus with diabetic cataract,Type 1 DM,1
913911000006110,2,Type I diabetes mellitus with diabetic cataract,32,type i diabetes mellitus with diabetic cataract,Type 1 DM,1
913921000006119,6,Insulin dependent diab mell with peripheral angiopathy,32,insulin dependent diab mell with peripheral angiopathy,Type 1 DM,1
913931000006116,28,Type 1 diabetes mellitus with peripheral angiopathy,32,type 1 diabetes mellitus with peripheral angiopathy,Type 1 DM,1
913941000006114,3,Peripheral angiopathy due to type 1 diabetes mellitus,32,peripheral angiopathy due to type 1 diabetes mellitus,Type 1 DM,1
913981000006115,41,Insulin dependent diab mell with neuropathic arthropathy,32,insulin dependent diab mell with neuropathic arthropathy,Type 1 DM,1
914031000006118,3389,Renal disorder associated with type II diabetes mellitus,32,renal disorder associated with type ii diabetes mellitus,Type 2 DM,1
914041000006111,25,Type II diabetes mellitus with renal complications,32,type ii diabetes mellitus with renal complications,Type 2 DM,1
914051000006113,1412,Disorder of eye with type 2 diabetes mellitus,32,disorder of eye with type 2 diabetes mellitus,Type 2 DM,1
914061000006110,12,Type II diabetes mellitus with ophthalmic complications,32,type ii diabetes mellitus with ophthalmic complications,Type 2 DM,1
914071000006115,1782,Neurologic disorder associated with type 2 diabetes mellitus,32,neurologic disorder associated with type 2 diabetes mellitus,Type 2 DM,1
914081000006117,14,Type II diabetes mellitus with neurological complications,32,type ii diabetes mellitus with neurological complications,Type 2 DM,1
914151000006112,6702,Retinopathy with type 2 diabetes mellitus,32,retinopathy with type 2 diabetes mellitus,Type 2 DM,1
914161000006114,104,Type II diabetes mellitus with retinopathy,32,type ii diabetes mellitus with retinopathy,Type 2 DM,1
914221000006113,315,Type 2 diabetes mellitus with mononeuropathy,32,type 2 diabetes mellitus with mononeuropathy,Type 2 DM,1
914231000006111,38,Type II diabetes mellitus with mononeuropathy,32,type ii diabetes mellitus with mononeuropathy,Type 2 DM,1
914241000006118,997,Polyneuropathy due to type 2 diabetes mellitus,32,polyneuropathy due to type 2 diabetes mellitus,Type 2 DM,1
914251000006116,36,Type II diabetes mellitus with polyneuropathy,32,type ii diabetes mellitus with polyneuropathy,Type 2 DM,1
914261000006119,7084,Diabetes type 2 with nephropathy,32,diabetes type 2 with nephropathy,Type 2 DM,1
914271000006114,90,Type II diabetes mellitus with nephropathy,32,type ii diabetes mellitus with nephropathy,Type 2 DM,1
914301000006111,486,Type 2 diabetes mellitus with diabetic cataract,32,type 2 diabetes mellitus with diabetic cataract,Type 2 DM,1
914311000006114,102,Type II diabetes mellitus with diabetic cataract,32,type ii diabetes mellitus with diabetic cataract,Type 2 DM,1
914391000006116,681264,Insulin treated Type 2 diabetes mellitus,32,insulin treated type 2 diabetes mellitus,Type 2 DM,1
918281000006116,2850,Pt advised re diabetic diet,42,pt advised re diabetic diet,Unclear,1
928461000006119,3627,Persistent proteinuria associated with type 1 diabetes mellitus,32,persistent proteinuria associated with type 1 diabetes mellitus,Type 1 DM,1
928471000006114,15,Type I diabetes mellitus with persistent proteinuria,32,type i diabetes mellitus with persistent proteinuria,Type 1 DM,1
928491000006110,104,Type I diabetes mellitus with persistent microalbuminuria,32,type i diabetes mellitus with persistent microalbuminuria,Type 1 DM,1
928501000006119,16031,Ketoacidosis in type 1 diabetes mellitus,32,ketoacidosis in type 1 diabetes mellitus,Type 1 DM,1
928511000006116,699,Type I diabetes mellitus with ketoacidosis,32,type i diabetes mellitus with ketoacidosis,Type 1 DM,1
928521000006112,838,Ketoacidotic coma in type 1 diabetes mellitus,32,ketoacidotic coma in type 1 diabetes mellitus,Type 1 DM,1
928531000006110,4,Type I diabetes mellitus with ketoacidotic coma,32,type i diabetes mellitus with ketoacidotic coma,Type 1 DM,1
928541000006117,30026,Persistent proteinuria associated with type 2 diabetes mellitus,32,persistent proteinuria associated with type 2 diabetes mellitus,Type 2 DM,1
928551000006115,643,Type II diabetes mellitus with persistent proteinuria,32,type ii diabetes mellitus with persistent proteinuria,Type 2 DM,1
928561000006118,68025,Persistent microalbuminuria associated with type 2 diabetes mellitus,32,persistent microalbuminuria associated with type 2 diabetes mellitus,Type 2 DM,1
928571000006113,2180,Type II diabetes mellitus with persistent microalbuminuria,32,type ii diabetes mellitus with persistent microalbuminuria,Type 2 DM,1
928581000006111,2702,Ketoacidosis in type 2 diabetes mellitus,32,ketoacidosis in type 2 diabetes mellitus,Type 2 DM,1
928591000006114,81,Type II diabetes mellitus with ketoacidosis,32,type ii diabetes mellitus with ketoacidosis,Type 2 DM,1
928601000006118,42,Ketoacidotic coma in type 2 diabetes mellitus,32,ketoacidotic coma in type 2 diabetes mellitus,Type 2 DM,1
928611000006115,6,Ketoacidotic coma in type II diabetes mellitus,32,ketoacidotic coma in type ii diabetes mellitus,Type 2 DM,1
932641000006116,27,Diabetes with coma,32,diabetes with coma,Unclear,1
933231000006118,1,Hypo states in diabetes,32,hypo states in diabetes,Unclear,1
938301000006114,499,Exudative maculopathy with type 1 diabetes mellitus,32,exudative maculopathy with type 1 diabetes mellitus,Type 1 DM,1
938311000006112,34,Type I diabetes mellitus with exudative maculopathy,32,type i diabetes mellitus with exudative maculopathy,Type 1 DM,1
938321000006116,1395,Exudative maculopathy associated with type 2 diabetes mellitus,32,exudative maculopathy associated with type 2 diabetes mellitus,Type 2 DM,1
938331000006118,248,Exudative maculopathy with type 2 diabetes mellitus,32,exudative maculopathy with type 2 diabetes mellitus,Type 2 DM,1
958321000006115,6,DHDS pilot project outcome - new diagnosis Diabetes,37,dhds pilot project outcome - new diagnosis diabetes,Unclear,1
967631000006115,16,Diabetes mellitus induced by non-steroid drugs without complication,32,diabetes mellitus induced by non-steroid drugs without complication,Unclear,1
967681000006119,19,Fibrocalculous pancreatic diabetes,32,fibrocalculous pancreatic diabetes,Unclear,1
967701000006116,128,Lipoatrophic diabetes mellitus,32,lipoatrophic diabetes mellitus,Unclear,1
975251000006111,7000,O/E - right eye stable treated proliferative diabetic retinopathy,27,o/e - right eye stable treated proliferative diabetic retinopathy,Unclear,1
975261000006113,6447,O/E - left eye stable treated proliferative diabetic retinopathy,27,o/e - left eye stable treated proliferative diabetic retinopathy,Unclear,1
987441000006113,26040,Six month diabetic review,1,six month diabetic review,Unclear,1
1065811000000118,1349,Discharged from diabetes shared care programme,40,discharged from diabetes shared care programme,Unclear,1
1139821000000110,465,Unsuitable for diabetes year of care programme,1,unsuitable for diabetes year of care programme,Unclear,1
1139861000000119,3643,Declined consent for diabetes year of care programme,1,declined consent for diabetes year of care programme,Unclear,1
1164191000000111,91970,Education about self management of diabetes,17,education about self management of diabetes,Unclear,1
1177721000000112,7371,Diabetic on subcutaneous treatment,1,diabetic on subcutaneous treatment,Unclear,1
1539131000006115,280,Referral for diabetic retinopathy screening,40,referral for diabetic retinopathy screening,Unclear,1
1550571000000114,44,Jamaica type diabetes,32,jamaica type diabetes,Unclear,1
1573121000006119,5219,Insulin started by GP,1,insulin started by gp,Unclear,1
1621011000006115,16792,No evidence of diabetic peripheral neuropathy,1,no evidence of diabetic peripheral neuropathy,Unclear,1
1627291000006113,2411,Did not complete DESMOND diabetes structured education programme,32,did not complete desmond diabetes structured education programme,Unclear,1
1628311000006111,1003,Did not complete XPERT diabetes structured education programme,32,did not complete xpert diabetes structured education programme,Unclear,1
1628621000006112,17964,Did not attend DESMOND diabetes structured education programme,37,did not attend desmond diabetes structured education programme,Unclear,1
1628691000006114,10086,Seen by general practitioner with special interest in diabetes,37,seen by general practitioner with special interest in diabetes,Unclear,1
1658821000000117,2282765,Diabetic dietary review,1,diabetic dietary review,Unclear,1
1658861000000113,100125,Type I diabetic dietary review,1,type i diabetic dietary review,Type 1 DM,1
1658901000000118,1850954,Type II diabetic dietary review,1,type ii diabetic dietary review,Type 2 DM,1
1658941000000115,38991,Diabetic dietary review declined,32,diabetic dietary review declined,Unclear,1
1665721000000112,11483,Type 2 diabetic dietary review,1,type 2 diabetic dietary review,Type 2 DM,1
1665751000000119,806,Type 1 diabetic dietary review,1,type 1 diabetic dietary review,Type 1 DM,1
1666911000000113,201686,O/E - Left diabetic foot at increased risk,27,o/e - left diabetic foot at increased risk,Unclear,1
1666931000000117,201693,O/E - Right diabetic foot at increased risk,27,o/e - right diabetic foot at increased risk,Unclear,1
1667891000000113,89,Hyperosmolar non-ketotic state in type II diabetes mellitus,32,hyperosmolar non-ketotic state in type ii diabetes mellitus,Type 2 DM,1
1667921000000117,411,Type II diabetes mellitus with gastroparesis,32,type ii diabetes mellitus with gastroparesis,Type 2 DM,1
1667941000000112,370,Type I diabetes mellitus with gastroparesis,32,type i diabetes mellitus with gastroparesis,Type 1 DM,1
1682711000006119,17292,Declined referral to DESMOND diabet. structured educat programme,32,declined referral to desmond diabet. structured educat programme,Unclear,1
1682761000006116,11307,Advice given about insulin storage,32,advice given about insulin storage,Unclear,1
1682801000006113,146494,Diabetic sick day rules advice,32,diabetic sick day rules advice,Unclear,1
1690631000000113,15193,Did not attend diabetes foot screening,37,did not attend diabetes foot screening,Unclear,1
1694761000006113,19050,Newly diagnosed diabetes,1,newly diagnosed diabetes,Unclear,1
1694811000006118,220,Insulin administration education,17,insulin administration education,Unclear,1
1696331000006114,403,Diabetic dermopathy,32,diabetic dermopathy,Unclear,1
1704651000006111,15673,Diabetic retinopathy screening administrative status,37,diabetic retinopathy screening administrative status,Unclear,1
1704681000006115,502,Eligibility temporarily inactive for diabetic retinopathy screening,37,eligibility temporarily inactive for diabetic retinopathy screening,Unclear,1
1704691000006117,270,Eligibility permanently inactive for diabetic retinopathy screening,37,eligibility permanently inactive for diabetic retinopathy screening,Unclear,1
1704731000006113,2242,Excluded from diabetic retinopathy screening as under care of ophthalmologist,37,excluded from diabetic retinopathy screening as under care of ophthalmologist,Unclear,1
1704751000006118,778,Excluded from diabetic retinopathy screening as no longer diabetic,37,excluded from diabetic retinopathy screening as no longer diabetic,Unclear,1
1704771000006111,64,Excluded from diabetic retinopathy screening as no current contact details,37,excluded from diabetic retinopathy screening as no current contact details,Unclear,1
1704781000006114,482,Excluded from diabetic retinopathy screening as terminal illness,37,excluded from diabetic retinopathy screening as terminal illness,Unclear,1
1704791000006112,255,Excluded from diabetic retinopathy screening as learning disability,37,excluded from diabetic retinopathy screening as learning disability,Unclear,1
1704801000006113,2091,Excluded from diabetic retinopathy screening as physical disorder,37,excluded from diabetic retinopathy screening as physical disorder,Unclear,1
1713371000006112,1,Diabetic medicine,37,diabetic medicine,Unclear,1
1734281000000117,94932,Diabetic erectile dysfunction review,1,diabetic erectile dysfunction review,Unclear,1
1734721000000114,306936,Assessment of diabetic erectile dysfunction,1,assessment of diabetic erectile dysfunction,Unclear,1
1744461000006117,702,Self-administration of insulin,1,self-administration of insulin,Unclear,1
1744471000006112,391,Needs carer to administer insulin,1,needs carer to administer insulin,Unclear,1
1752811000000118,1966,No evidence of diabetic nephropathy,27,no evidence of diabetic nephropathy,Unclear,1
1754911000006114,8798,Excepted from diabetes quality indicators: service unavailable,37,excepted from diabetes quality indicators: service unavailable,Unclear,1
1755441000006119,821182,Diabetes monitoring invitation by short message service text messaging,37,diabetes monitoring invitation by short message service text messaging,Unclear,1
1759911000000118,13215,Diabetes care plan declined,32,diabetes care plan declined,Unclear,1
1763361000006116,157,Participant in ASCEND(A Study of Cardiovascu.Events in Diabetes),37,participant in ascend(a study of cardiovascu.events in diabetes),Unclear,1
1773381000006119,25528,Seen in in-house nurse-led diabetic clinic,37,seen in in-house nurse-led diabetic clinic,Unclear,1
1776581000006117,5883,Reason for referral: Diabetes,40,reason for referral: diabetes,Unclear,1
1780981000006115,397,Diabetic on non-insulin injectable,1,diabetic on non-insulin injectable,Unclear,1
1784011000006116,34,Advised to maintain back up supply of insulin for subcutaneous injection,32,advised to maintain back up supply of insulin for subcutaneous injection,Unclear,1
1784621000006118,137203,Referral to diabetes education and self management for ongoing and newly diagnosed structured programme declined,32,referral to diabetes education and self management for ongoing and newly diagnosed structured programme declined,Unclear,1
1784711000006118,190,Professional judgement not to engage patient with insulin alert requirements,32,professional judgement not to engage patient with insulin alert requirements,Unclear,1
1799301000000112,104511,Insulin passport given,32,insulin passport given,Unclear,1
1799541000000117,29968,Insulin passport completed,32,insulin passport completed,Unclear,1
1799591000000110,4318,Informed dissent not to carry insulin passport,32,informed dissent not to carry insulin passport,Unclear,1
1804191000006114,11327,Diabetic retinopathy screen done by optician,1,diabetic retinopathy screen done by optician,Unclear,1
1822391000006114,23,Date other antidiabetic drug started,1,date other antidiabetic drug started,Unclear,1
1823921000006119,734,Diabetes mellitus confirmed,27,diabetes mellitus confirmed,Unclear,1
1824081000006117,1,Diabetes clinical pathway protocol followed,32,diabetes clinical pathway protocol followed,Unclear,1
1824571000006112,11540,Referral to walking away from diabetes programme,40,referral to walking away from diabetes programme,Unclear,1
1824581000006110,6799,Referral to walking away from diabetes programme declined,32,referral to walking away from diabetes programme declined,Unclear,1
1824931000006119,1761,Home visit for diabetes monitoring,1,home visit for diabetes monitoring,Unclear,1
1839671000006113,12933,Diabetic short review,1,diabetic short review,Unclear,1
1841451000006115,3,Diabetic foot screening invitation,37,diabetic foot screening invitation,Unclear,1
1841461000006118,2287,Diabetic foot screening invitation letter,37,diabetic foot screening invitation letter,Unclear,1
1841481000006111,2,Diabetic foot screening invitation second letter,37,diabetic foot screening invitation second letter,Unclear,1
1842001000006118,19087,Diabetic annual review by practice nurse,1,diabetic annual review by practice nurse,Unclear,1
1853141000006111,2,In-house diabetes foot screening,37,in-house diabetes foot screening,Unclear,1
1855341000006113,105,Conversion to insulin by hospital,1,conversion to insulin by hospital,Unclear,1
1855351000006110,10,Conversion to insulin by diabetic specialist nurse,1,conversion to insulin by diabetic specialist nurse,Unclear,1
1856641000006113,53249,Diabetes monitoring in primary care,37,diabetes monitoring in primary care,Unclear,1
1856651000006110,8570,Diabetes monitoring in secondary care,37,diabetes monitoring in secondary care,Unclear,1
1856661000006112,391,Diabetes treatment type,1,diabetes treatment type,Unclear,1
1858811000006114,1,AURAS-AF - consider the patient to have diabetes,37,auras-af - consider the patient to have diabetes,Unclear,1
1868141000006110,32205,Referral to DAFNE diabetes structured education programme declined,32,referral to dafne diabetes structured education programme declined,Unclear,1
1873301000006114,80,Care contact service: diabetes,37,care contact service: diabetes,Unclear,1
1876341000006117,27451,Diabetic 3 month review,1,diabetic 3 month review,Unclear,1
1877371000006111,30,Diabetes clinical management plan no longer in place,32,diabetes clinical management plan no longer in place,Unclear,1
1884591000006118,5155,Further diabetic monitoring,1,further diabetic monitoring,Unclear,1
1891061000006117,1,Participant in Diabetes Aerobic and Resistance Exercise study,37,participant in diabetes aerobic and resistance exercise study,Unclear,1
1916521000006118,16635,Access to online patient diabetes education given,32,access to online patient diabetes education given,Unclear,1
1918361000006116,49429,Diabetes care planning test results sent to patient,37,diabetes care planning test results sent to patient,Unclear,1
1920661000006119,219,Unsuitable for DESMOND diabetes structured education programme,37,unsuitable for desmond diabetes structured education programme,Unclear,1
1932051000006114,231,3D study - problems with diabetes management,37,3d study - problems with diabetes management,Unclear,1
1935341000006117,848,Patient in diabetes study,37,patient in diabetes study,Unclear,1
1946681000006112,1020,Provision of written information about diabetes & hypertensn,32,provision of written information about diabetes & hypertensn,Unclear,1
1946691000006110,63064,Provision of written information about diabetes and hypertension,32,provision of written information about diabetes and hypertension,Unclear,1
1946711000006113,144076,Provision of written information about diabetes and high cholesterol,32,provision of written information about diabetes and high cholesterol,Unclear,1
1947151000006112,14734,Joint consultation with practice nurse and community diabetes specialist nurse,37,joint consultation with practice nurse and community diabetes specialist nurse,Unclear,1
1947161000006114,6423,Joint consultation with General Practitioner and community diabetes specialist nurse,37,joint consultation with general practitioner and community diabetes specialist nurse,Unclear,1
1954041000006119,1,Diabetic - uses carbohydrate counting,1,diabetic - uses carbohydrate counting,Unclear,1
1957911000006111,7087,H/O: hypoglycaemic event in diabetes,32,h/o: hypoglycaemic event in diabetes,Unclear,1
1957931000006117,54953,No H/O hypoglycaemic event in diabetes,27,no h/o hypoglycaemic event in diabetes,Unclear,1
1960611000006113,78,Diabetic foot examination - action required,1,diabetic foot examination - action required,Unclear,1
1960621000006117,203,Diabetic foot examination - no action required,1,diabetic foot examination - no action required,Unclear,1
1966311000006116,25352,Diabetic on oral treatment and glucagon-like peptide 1 receptor agonist,1,diabetic on oral treatment and glucagon-like peptide 1 receptor agonist,Unclear,1
1966321000006112,8545,Diabetic on insulin and glucagon-like peptide 1 receptor agonist,1,diabetic on insulin and glucagon-like peptide 1 receptor agonist,Unclear,1
1966441000006113,7423,Recommendation to self-refer for diabetes structured education,17,recommendation to self-refer for diabetes structured education,Unclear,1
1967341000006115,10839,Not suitable for DESMOND (Diabetes Education and Self Management for Ongoing and Newly Diagnosed) programme,37,not suitable for desmond (diabetes education and self management for ongoing and newly diagnosed) programme,Unclear,1
1968641000006114,124,"Maturity-onset diabetes of the young, type 5",32,"maturity-onset diabetes of the young, type 5",Unclear,1
1984081000006115,4,Manchester triage - Diabetes,1,manchester triage - diabetes,Unclear,1
1987971000006114,274,X-PERT First Steps diabetes self-management programme completed,37,x-pert first steps diabetes self-management programme completed,Unclear,1
1988741000006117,196,Pregnancy and non-insulin-dependent diabetes mellitus,32,pregnancy and non-insulin-dependent diabetes mellitus,Unclear,1
1996751000006117,3174,Insulin injection technique checked,1,insulin injection technique checked,Unclear,1
2014951000006115,5676,New diabetic foot ulcer,1,new diabetic foot ulcer,Unclear,1
2115761000000117,58781,Diabetes self-management plan review,1,diabetes self-management plan review,Unclear,1
2116661000000116,148143,Referral to community diabetes service,40,referral to community diabetes service,Unclear,1
2117891000000114,1558128,Diabetes self-management plan agreed,1,diabetes self-management plan agreed,Unclear,1
2139121000000115,46918,Insulin passport checked,32,insulin passport checked,Unclear,1
2156571000000116,258740,Provision of diabetes clinical summary,17,provision of diabetes clinical summary,Unclear,1
2168881000000114,3570,Subcutaneous infusion with insulin pump,32,subcutaneous infusion with insulin pump,Unclear,1
2176771000000110,1344,Referral to community diabetes specialist nurse declined,32,referral to community diabetes specialist nurse declined,Unclear,1
2182651000000118,90857,Referral to community diabetes clinic,40,referral to community diabetes clinic,Unclear,1
2205911000000116,16470,Diabetes clinical pathway,32,diabetes clinical pathway,Unclear,1
2220161000000117,59452,Provision of written information about diabetes and driving,32,provision of written information about diabetes and driving,Unclear,1
2227781000000112,143670,Diabetic foot screening invitation,37,diabetic foot screening invitation,Unclear,1
2227861000000112,66013,Diabetic foot screening invitation first letter,37,diabetic foot screening invitation first letter,Unclear,1
2227981000000110,16268,Diabetic foot screening invitation second letter,37,diabetic foot screening invitation second letter,Unclear,1
2230301000000116,6883,Diabetic foot screening invitation third letter,37,diabetic foot screening invitation third letter,Unclear,1
2243331000000115,3183,Erectile dysfunction due to diabetes mellitus,32,erectile dysfunction due to diabetes mellitus,Unclear,1
2249831000000111,42734,In-house diabetic foot screening,37,in-house diabetic foot screening,Unclear,1
2249871000000113,221,In-house diabetic foot screening first appointment,37,in-house diabetic foot screening first appointment,Unclear,1
2249951000000114,599,In-house diabetic foot screening follow-up appointment,37,in-house diabetic foot screening follow-up appointment,Unclear,1
2249991000000118,106,Discharge from in-house diabetic foot screening,40,discharge from in-house diabetic foot screening,Unclear,1
2262341000000113,328,Conversion to insulin in secondary care,1,conversion to insulin in secondary care,Unclear,1
2262381000000117,823,Conversion to insulin by diabetes specialist nurse,1,conversion to insulin by diabetes specialist nurse,Unclear,1
2265851000000114,952,Insulin passport not checked,32,insulin passport not checked,Unclear,1
